iter	Passed	Remaining
411	3906	5574
412	3915	5564
413	3924	5555
414	3932	5544
415	3941	5533
416	3950	5523
417	3959	5513
418	3967	5501
419	3975	5490
420	3984	5480
421	3993	5470
422	4002	5459
423	4010	5448
424	4020	5439
425	4028	5428
426	4038	5419
427	4047	5408
428	4056	5398
429	4065	5388
430	4073	5378
431	4082	5368
432	4091	5357
433	4100	5347
434	4109	5337
435	4118	5327
436	4127	5318
437	4136	5308
438	4146	5298
439	4154	5287
440	4163	5277
441	4172	5267
442	4180	5256
443	4189	5246
444	4198	5236
445	4207	5226
446	4216	5216
447	4225	5206
448	4235	5197
449	4244	5187
450	4252	5177
451	4261	5167
452	4271	5157
453	4280	5147
454	4289	5137
455	4298	5127
456	4307	5117
457	4316	5108
458	4324	5097
459	4334	5088
460	4343	5077
461	4352	5067
462	4360	5057
463	4369	5047
464	4378	5037
465	4387	5028
466	4397	5018
467	4406	5009
468	4415	4999
469	4424	4989
470	4435	4981
471	4444	4971
472	4453	4961
473	4462	4952
474	4472	4943
475	4481	4933
476	4491	4924
477	4500	4914
478	4508	4904
479	4519	4895
480	4528	4886
481	4537	4876
482	4546	4866
483	4554	4856
484	4563	4846
485	4572	4836
486	4581	4826
487	4590	4816
488	4599	4806
489	4608	4796
490	4617	4786
491	4627	4777
492	4635	4766
493	4644	4757
494	4653	4747
495	4662	4737
496	4672	4728
497	4681	4718
498	4690	4708
499	4698	4698
500	4707	4688
501	4716	4679
502	4725	4669
503	4735	4660
504	4745	4651
505	4753	4641
506	4762	4630
507	4771	4621
508	4780	4611
509	4790	4602
510	4799	4592
511	4808	4582
512	4817	4573
513	4827	4564
514	4836	4554
515	4844	4544
516	4853	4534
517	4862	4524
518	4871	4514
519	4880	4505
520	4890	4495
521	4898	4486
522	4908	4476
523	4917	4467
524	4926	4457
525	4936	4448
526	4945	4438
527	4954	4428
528	4962	4418
529	4971	4408
530	4980	4398
531	4988	4388
532	4997	4378
533	5006	4368
534	5015	4359
535	5024	4349
536	5034	4340
537	5043	4330
538	5052	4320
539	5060	4311
540	5070	4302
541	5079	4292
542	5089	4283
543	5098	4274
544	5107	4264
545	5117	4255
546	5125	4245
547	5135	4235
548	5144	4225
549	5153	4216
550	5162	4206
551	5170	4196
552	5179	4186
553	5188	4177
554	5198	4167
555	5207	4158
556	5215	4148
557	5225	4138
558	5234	4129
559	5243	4120
560	5253	4110
561	5261	4100
562	5270	4091
563	5279	4081
564	5288	4071
565	5297	4062
566	5306	4052
567	5315	4042
568	5324	4033
569	5333	4023
570	5342	4014
571	5352	4004
572	5360	3994
573	5369	3985
574	5379	3975
575	5388	3966
576	5397	3956
577	5406	3947
578	5415	3937
579	5424	3928
580	5433	3918
581	5442	3908
582	5451	3899
583	5460	3889
584	5470	3880
585	5479	3871
586	5488	3861
587	5497	3851
588	5506	3842
589	5516	3833
590	5524	3823
591	5533	3813
592	5542	3804
593	5551	3794
594	5560	3784
595	5569	3775
596	5578	3765
597	5587	3756
598	5596	3746
599	5606	3737
600	5615	3727
601	5624	3718
602	5633	3708
603	5641	3698
604	5650	3689
605	5660	3680
606	5669	3670
607	5678	3661
608	5688	3652
609	5697	3642
610	5706	3633
611	5715	3623
612	5724	3614
613	5734	3605
614	5743	3595
615	5752	3586
616	5762	3576
617	5771	3567
618	5780	3558
619	5789	3548
620	5798	3538
621	5807	3529
622	5817	3520
623	5825	3510
624	5834	3500
625	5844	3491
626	5854	3482
627	5862	3472
628	5871	3463
629	5880	3453
630	5890	3444
631	5899	3435
632	5908	3425
633	5918	3416
634	5928	3407
635	5937	3398
636	5946	3388
637	5956	3379
638	5965	3369
639	5973	3360
640	5983	3350
641	5992	3341
642	6001	3332
643	6010	3322
644	6019	3313
645	6027	3303
646	6036	3293
647	6045	3284
648	6055	3274
649	6063	3265
650	6073	3255
651	6082	3246
652	6091	3236
653	6100	3227
654	6108	3217
655	6118	3208
656	6127	3198
657	6136	3189
658	6146	3180
659	6155	3170
660	6164	3161
661	6172	3151
662	6181	3141
663	6189	3132
664	6199	3123
665	6208	3113
666	6217	3104
667	6226	3094
668	6235	3085
669	6244	3075
670	6253	3066
671	6262	3056
672	6271	3047
673	6281	3038
674	6289	3028
675	6298	3018
676	6307	3009
677	6317	3000
678	6326	2991
679	6335	2981
680	6345	2972
681	6354	2962
682	6363	2953
683	6372	2944
684	6381	2934
685	6390	2924
686	6398	2915
687	6407	2905
688	6416	2896
689	6426	2887
690	6435	2877
691	6444	2868
692	6453	2858
693	6461	2849
694	6471	2839
695	6480	2830
696	6489	2821
697	6498	2811
698	6508	2802
699	6516	2792
700	6525	2783
701	6534	2773
702	6543	2764
703	6552	2755
704	6562	2745
705	6571	2736
706	6580	2726
707	6589	2717
708	6598	2708
709	6607	2698
710	6615	2689
711	6624	2679
712	6632	2669
713	6642	2660
714	6650	2651
715	6659	2641
716	6668	2632
717	6677	2622
718	6686	2613
719	6695	2603
720	6705	2594
721	6713	2585
722	6722	2575
723	6731	2566
724	6740	2556
725	6749	2547
726	6757	2537
727	6766	2528
728	6776	2518
729	6785	2509
730	6794	2500
731	6804	2491
732	6813	2481
733	6822	2472
734	6831	2462
735	6840	2453
736	6849	2444
737	6858	2434
738	6867	2425
739	6876	2416
740	6886	2406
741	6895	2397
742	6904	2388
743	6913	2378
744	6922	2369
745	6930	2359
746	6939	2350
747	6949	2341
748	6959	2332
749	6968	2322
750	6977	2313
751	6987	2304
752	6995	2294
753	7005	2285
754	7014	2276
755	7023	2266
756	7032	2257
757	7041	2248
758	7051	2238
759	7060	2229
760	7069	2220
761	7077	2210
762	7086	2201
763	7096	2192
764	7105	2182
765	7114	2173
766	7123	2164
767	7133	2154
768	7143	2145
769	7152	2136
770	7161	2127
771	7170	2117
772	7179	2108
773	7188	2098
774	7197	2089
775	7207	2080
776	7216	2071
777	7226	2062
778	7235	2052
779	7244	2043
780	7253	2034
781	7263	2024
782	7272	2015
783	7281	2006
784	7290	1996
785	7299	1987
786	7308	1977
787	7316	1968
788	7325	1959
789	7335	1949
790	7344	1940
791	7353	1931
792	7361	1921
793	7370	1912
794	7379	1903
795	7389	1893
796	7397	1884
797	7406	1874
798	7415	1865
799	7425	1856
800	7435	1847
801	7443	1837
802	7453	1828
803	7462	1819
804	7471	1809
805	7480	1800
806	7489	1791
807	7498	1781
808	7513	1773
809	7524	1765
810	7535	1756
811	7546	1747
812	7555	1737
813	7565	1728
814	7574	1719
815	7583	1710
816	7592	1700
817	7602	1691
818	7611	1682
819	7620	1672
820	7630	1663
821	7639	1654
822	7648	1645
823	7657	1635
824	7666	1626
825	7675	1616
826	7684	1607
827	7692	1598
828	7701	1588
829	7710	1579
830	7719	1569
831	7728	1560
832	7737	1551
833	7746	1541
834	7755	1532
835	7764	1523
836	7773	1513
837	7782	1504
838	7792	1495
839	7800	1485
840	7811	1476
841	7820	1467
842	7829	1458
843	7838	1448
844	7847	1439
845	7856	1430
846	7865	1420
847	7875	1411
848	7883	1402
849	7892	1392
850	7900	1383
851	7910	1374
852	7919	1364
853	7928	1355
854	7937	1346
855	7947	1336
856	7956	1327
857	7965	1318
858	7974	1309
859	7983	1299
860	7992	1290
861	8001	1281
862	8010	1271
863	8020	1262
864	8028	1253
865	8038	1243
866	8047	1234
867	8056	1225
868	8065	1215
869	8074	1206
870	8083	1197
871	8092	1187
872	8101	1178
873	8109	1169
874	8118	1159
875	8128	1150
876	8136	1141
877	8148	1132
878	8158	1123
879	8167	1113
880	8176	1104
881	8185	1095
882	8195	1085
883	8204	1076
884	8213	1067
885	8222	1057
886	8231	1048
887	8240	1039
888	8249	1030
889	8257	1020
890	8266	1011
891	8275	1001
892	8284	992
893	8293	983
894	8302	974
895	8311	964
896	8320	955
897	8334	946
898	8351	938
899	8366	929
900	8379	920
901	8388	911
902	8398	902
903	8406	892
904	8416	883
905	8424	874
906	8434	864
907	8443	855
908	8452	846
909	8462	836
910	8471	827
911	8480	818
912	8490	809
913	8499	799
914	8508	790
915	8517	781
916	8526	771
917	8535	762
918	8544	753
919	8553	743
920	8562	734
921	8571	725
922	8581	715
923	8590	706
924	8598	697
925	8607	687
926	8616	678
927	8625	669
928	8634	659
929	8643	650
930	8653	641
931	8662	632
932	8671	622
933	8679	613
934	8688	604
935	8698	594
936	8707	585
937	8716	576
938	8724	566
939	8733	557
940	8744	548
941	8753	538
942	8762	529
943	8770	520
944	8779	511
945	8789	501
946	8797	492
947	8807	483
948	8815	473
949	8824	464
950	8833	455
951	8843	445
952	8852	436
953	8860	427
954	8869	417
955	8879	408
956	8888	399
957	8897	390
958	8905	380
959	8914	371
960	8923	362
961	8932	352
962	8941	343
963	8950	334
964	8959	324
965	8978	316
966	8995	306
967	9011	297
968	9024	288
969	9034	279
970	9043	270
971	9052	260
972	9061	251
973	9070	242
974	9079	232
975	9089	223
976	9098	214
977	9106	204
978	9116	195
979	9125	186
980	9134	176
981	9143	167
982	9151	158
983	9161	148
984	9169	139
985	9178	130
986	9188	121
987	9197	111
988	9206	102
989	9215	93
990	9224	83
991	9233	74
992	9243	65
993	9252	55
994	9261	46
995	9271	37
996	9280	27
997	9289	18
998	9299	9
999	9307	0
