year;Q1;Q2;Q3;Q4
2023;45422.00;28157.00;4.22333333333333;6.71666666666667
2022;34578.00;17.2133333333333;15.0966666666667;12.7566666666667
2021;6.41666666666667;28246.00;6.55666666666667;7.98333333333333
2020;3.21333333333333;2.89333333333333;3.38333333333333;4.02333333333333
2019;15797.00;43586.00;4.52666666666667;3.76666666666667
2018;2.89333333333333;2.39666666666667;2.62333333333333;21610.00
2017;4.04333333333333;4.15666666666667;3.83333333333333;26696.00
2016;7.73666666666667;7.26666666666667;7.17666666666667;45541.00
2015;14.8633333333333;16.3766666666667;15.5666666666667;15.4166666666667
2014;31959.00;46935.00;7.60333333333333;8.46666666666667
2013;6.93333333333333;44378.00;6.60666666666667;6.28666666666667
2012;4.82666666666667;3.62666666666667;46874.00;6.53333333333333
2011;8.37666666666667;9.55333333333333;8.86333333333333;45450.00
2010;7.99333333333333;6.15666666666667;5.74666666666667;7.50666666666667
2009;12.00;13.14;11.8266666666667;9.82666666666667
2008;12.8333333333333;14.2566666666667;14.97;14.3533333333333
2007;9.22666666666667;7.57666666666667;21763.00;10.5566666666667
2006;10.2966666666667;9.93333333333333;9.30333333333333;9.20666666666667
2005;43800.00;13.7466666666667;13.1233333333333;28065.00
2004;45333.00;10.2066666666667;21824.00;11.5366666666667
2003;45486.00;14.34;13.73;12.9866666666667
2002;17.2266666666667;16.2466666666667;14.9266666666667;14.94
2001;20.4933333333333;24.4166666666667;22.2033333333333;19.1566666666667
2000;24.7466666666667;20.6133333333333;19.2733333333333;19.2333333333333
1999;78.9066666666667;112.45;122.736666666667;56.5566666666667
1998;34.6666666666667;8.00;7.20333333333333;59.3
1997;16.35;15.5466666666667;14.6966666666667;12.8666666666667
1996;71.8833333333333;68.4433333333333;43.6333333333333;27.5966666666667
1995;187.083333333333;220.713333333333;224.773333333333;187.09
1994;559.556666666667;539.733333333333;339.576666666667;211.546666666667
1993;816.393333333333;695.316666666667;830.003333333333;1014.89
